,Movie Title,IMDB rating,Year of release,Running_time_min,Genre,Number of Votes
0,Sholay,8.2,1975,198.0,"Action, Adventure, Comedy            ",43462
1,Deewaar,8.1,1975,174.0,"Action, Crime, Drama            ",8193
2,Haasil,7.7,2003,160.0,"Crime, Drama, Romance            ",2263
3,Masoom,8.5,1983,165.0,"Drama, Family, Musical            ",2939
4,Munna Bhai M.B.B.S.,8.2,2003,156.0,"Comedy, Drama, Musical            ",58970
5,Rang De Basanti,8.3,2006,157.0,"Comedy, Drama            ",93108
6,Agneepath,7.7,1990,174.0,"Action, Crime, Drama            ",6836
7,Anand,8.8,1971,122.0,Drama            ,19598
8,Jo Jeeta Wohi Sikandar,8.2,1992,174.0,"Comedy, Drama, Romance            ",17963
9,Satya,8.2,1998,170.0,"Action, Crime, Drama            ",10464
10,"Swades: We, the People",8.3,2004,210.0,Drama            ,69456
11,Maqbool,8.2,2003,132.0,"Crime, Drama            ",6836
12,Naam,7.6,1986,177.0,"Crime, Drama, Thriller            ",725
13,Chashme Buddoor,8.0,1981,145.0,"Comedy, Family, Romance            ",1883
14,Gol Maal,8.6,1979,120.0,"Comedy, Romance            ",13730
15,Shiva,8.2,1989,145.0,Action            ,2214
16,Dev.D,8.1,2009,144.0,"Comedy, Drama, Romance            ",24340
17,Jaane Bhi Do Yaaron,7.1,2007,nan,Comedy            ,185
18,Don,7.8,1978,175.0,"Action, Crime, Thriller            ",8956
19,Chupke Chupke,8.5,1975,146.0,"Comedy, Drama, Romance            ",8950
20,Parinda,7.9,1989,154.0,"Action, Crime, Drama            ",2580
21,Manzil,7.1,1979,113.0,"Drama, Romance, Family            ",211
22,Khamoshi,7.8,1970,127.0,"Family, Musical, Romance            ",446
23,Ardh Satya,8.2,1983,130.0,"Crime, Drama            ",1309
24,Ghayal,7.7,1990,163.0,"Action, Crime, Drama            ",3210
25,Trishul,7.8,1978,167.0,"Action, Drama, Musical            ",1650
26,Mother India,8.1,1957,172.0,"Drama, Musical, Family            ",6979
27,Gunga Jumna,7.6,1961,178.0,"Action, Drama, Musical            ",416
28,Devdas,8.0,1955,159.0,"Drama, Musical, Romance            ",1490
29,Pyaasa,8.5,1957,146.0,"Drama, Musical, Romance            ",4234
30,Company,8.0,2002,155.0,"Action, Crime, Drama            ",12102
31,Gangaajal,7.9,2003,157.0,"Action, Crime, Drama            ",12530
32,Andaz,7.5,1949,148.0,"Musical, Drama, Crime            ",365
33,Sarfarosh,8.2,1999,174.0,"Action, Adventure, Drama            ",20631
34,Bombay,8.1,1995,141.0,"Drama, Musical, Romance            ",9089
35,Arth,8.0,1982,138.0,"Drama, Romance            ",1010
36,Amar Akbar Anthony,7.6,1977,184.0,"Action, Comedy, Drama            ",4978
37,Angoor,8.4,1982,131.0,Comedy            ,4060
38,Kalyug,7.8,1981,152.0,Drama            ,413
39,Baton Baton Mein,7.6,1979,112.0,"Comedy, Romance            ",819
40,Silsila,7.4,1981,182.0,"Drama, Family, Romance            ",2171
41,Yuva,7.4,2004,161.0,"Action, Adventure, Crime            ",7184
42,Koshish,8.7,1972,125.0,Drama            ,1197
43,Muqaddar Ka Sikandar,7.5,1978,189.0,"Drama, Romance            ",2120
44,Zanjeer,7.7,1973,145.0,"Action, Crime, Drama            ",3113
45,Shool,7.7,1999,138.0,"Action, Crime, Drama            ",2084
46,Rajnigandha,7.5,1974,110.0,"Drama, Romance            ",413
47,Namak Haraam,7.4,1973,146.0,Drama            ,1245
48,Abhimaan,8.0,1973,122.0,"Drama, Musical            ",2175
49,Chhoti Si Baat,8.4,1976,123.0,"Comedy, Romance            ",2971
50,Junoon,7.6,1979,141.0,Drama            ,411
51,Katha,8.0,1983,141.0,"Comedy, Drama            ",890
52,Mughal-E-Azam,8.4,1960,197.0,"Drama, Romance, War            ",5190
53,Andaz Apna Apna,8.2,1994,160.0,"Comedy, Family, Romance            ",42792
54,Dil Chahta Hai,8.2,2001,183.0,"Comedy, Drama, Romance            ",57431
55,Madhumati,8.1,1958,110.0,"Musical, Mystery, Romance            ",953
56,A Wednesday,8.2,2008,104.0,"Crime, Drama, Mystery            ",62913
57,Bawarchi,8.0,1972,130.0,"Comedy, Musical, Drama            ",2852
58,Mashaal,7.5,1984,162.0,"Action, Drama, Family            ",509
59,Kissi Se Na Kehna,7.3,1983,nan,"Comedy, Romance            ",394
60,Achanak,7.1,1973,96.0,"Crime, Drama            ",156
61,Mere Apne,7.7,1971,164.0,Drama            ,407
62,Khubsoorat,7.7,1980,126.0,"Comedy, Drama, Family            ",1197
63,Black,8.2,2005,122.0,Drama            ,29139
64,Naya Daur,8.1,1957,173.0,"Drama, Musical, Romance            ",876
65,Taare Zameen Par,8.4,2007,165.0,"Drama, Family            ",124544
66,Sadma,8.5,1983,141.0,Romance            ,2476
67,Maachis,7.9,1996,160.0,"Action, Crime, Drama            ",1645
68,Vaastav: The Reality,8.0,1999,145.0,"Action, Crime, Drama            ",9949
69,Khatta Meetha,7.6,1978,128.0,"Comedy, Drama, Family            ",628
70,Lakshya,7.9,2004,186.0,"Action, Adventure, Drama            ",16251
71,Mr. India,7.8,1987,179.0,"Action, Comedy, Drama            ",10713
72,Namak Halaal,7.4,1982,171.0,"Action, Comedy, Drama            ",1855
73,Kabhi Kabhi,6.6,1978,nan,nan,110
74,Gulaal,8.1,2009,140.0,"Crime, Drama, Thriller            ",11404
75,Guru,7.8,2007,166.0,"Biography, Drama, Musical            ",18427
76,Bemisal,7.1,1982,142.0,"Drama, Family            ",299
77,Chameli Ki Shaadi,7.6,1986,136.0,"Comedy, Drama, Romance            ",1276
78,Kabuliwala,7.7,1957,116.0,Drama            ,219
79,Bandini,7.7,1963,157.0,"Drama, Musical, Romance            ",643
80,Phool Aur Patthar,6.6,1966,163.0,"Action, Drama, Romance            ",176
81,Parichay,7.5,1972,145.0,"Drama, Family, Musical            ",682
82,Imtihan,7.6,1974,153.0,"Family, Drama            ",39
83,Majboor,7.2,1974,155.0,"Drama, Mystery, Thriller            ",522
84,Kaala Patthar,7.8,1979,176.0,"Action, Drama, History            ",1709
85,Damini,7.9,1993,175.0,"Crime, Drama            ",2352
86,Naram Garam,7.5,1981,122.0,"Comedy, Drama            ",706
87,Shakti,7.8,1982,166.0,"Action, Crime, Drama            ",1606
88,Woh 7 Din,7.6,1983,139.0,"Drama, Romance            ",927
89,Saaransh,8.2,1984,137.0,Drama            ,1425
90,Arjun,7.2,1985,154.0,"Action, Crime, Drama            ",670
91,Saaheb,7.2,1985,150.0,Drama            ,381
92,Chaalbaaz,6.8,1989,155.0,"Action, Comedy, Drama            ",1124
